distribution,param_skew_a,param_skew_loc,param_skew_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"SkewNormal(a=-12.0,loc=32.0,scale=7.0)",-12.0,32.0,7.0,26.270573005957324,4.386766290061491,32.2,16.748801787096248,51.05119821290374,0.8912,346974.8627739617
"SkewNormal(a=-12.0,loc=36.0,scale=7.0)",-12.0,36.0,7.0,30.39484243523691,4.296759659883183,36.4,15.88309439257083,47.716905607429176,0.8936000000000001,315578.49906792905
"SkewNormal(a=-12.0,loc=40.0,scale=7.0)",-12.0,40.0,7.0,34.312070023941665,4.497644944750512,40.4,15.04997339961014,44.55002660038986,0.8928,284904.3505376197
"SkewNormal(a=-12.0,loc=44.0,scale=7.0)",-12.0,44.0,7.0,38.3094140016992,4.073324739115219,44.1,14.271197199316251,41.62880280068375,0.8896000000000001,256234.7851721769
"SkewNormal(a=-12.0,loc=48.0,scale=7.0)",-12.0,48.0,7.0,42.430336953172755,4.125251919537914,48.0,13.441106883937058,38.55889311606295,0.8848,226336.80860349338
"SkewNormal(a=-12.0,loc=52.0,scale=7.0)",-12.0,52.0,7.0,46.551694427594164,4.1400484967185545,52.2,12.535553661356207,35.26444633864379,0.8848,196597.24346987167
"SkewNormal(a=-12.0,loc=56.0,scale=7.0)",-12.0,56.0,7.0,50.37445189671276,4.075798039304529,56.3,11.638679436007909,32.0613205639921,0.892,170075.12528524772
"SkewNormal(a=-12.0,loc=60.0,scale=7.0)",-12.0,60.0,7.0,54.57120466572173,4.3215917091595974,60.1,10.794723561758223,29.10527643824178,0.8848,142772.81693391054
"SkewNormal(a=-12.0,loc=64.0,scale=7.0)",-12.0,64.0,7.0,58.354980662696136,4.333905041547891,64.3,9.845850541419182,25.85414945858082,0.8856,115569.17766619002
"SkewNormal(a=-12.0,loc=68.0,scale=7.0)",-12.0,68.0,7.0,62.432234828575545,4.266990370580461,67.8,9.040456455873315,23.15954354412669,0.8768,92086.25396838071
"SkewNormal(a=-10.9,loc=32.0,scale=7.0)",-10.88888888888889,32.0,7.0,26.423156452671854,4.095090037413256,32.3,16.72829207988873,50.97170792011127,0.8936000000000001,347264.3765017909
