distribution,param_target_mean,param_mu_ln,param_sigma_ln,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"LogNormal(E≈14.0,σ_ln=0.05)",14.0,2.637807329615258,0.05,13.985176304201548,0.7010897342358586,15.8,20.05252492747188,64.14747507252812,0.896,481261.0079874402
"LogNormal(E≈14.0,σ_ln=0.06)",14.0,2.6370931855962145,0.06267605633802817,14.006881057160012,0.8711436734123769,16.1,19.99306726511731,63.906932734882695,0.892,476416.9853322874
"LogNormal(E≈14.0,σ_ln=0.08)",14.0,2.635720690059615,0.08169014084507042,13.999718371973689,1.144152080939535,16.9,19.834349780303192,63.2656502196968,0.8984,473565.1527099644
"LogNormal(E≈14.0,σ_ln=0.09)",14.0,2.6346048400298585,0.0943661971830986,13.993283371908754,1.3179435338390466,17.3,19.754901058329274,62.945098941670736,0.8904,465624.22633006616
"LogNormal(E≈14.0,σ_ln=0.11)",14.0,2.6326297854771905,0.11338028169014085,13.97426910679063,1.5394930443703139,17.4,19.73502944303509,62.86497055696491,0.8856,462029.960522659
"LogNormal(E≈14.0,σ_ln=0.13)",14.0,2.6311122294367224,0.126056338028169,13.905716754977147,1.8528725178907706,18.7,19.476351839975827,61.82364816002418,0.8904,454181.39422338794
"LogNormal(E≈14.0,σ_ln=0.15)",14.0,2.628534615867986,0.14507042253521127,14.000993893408205,2.0460503930630156,18.7,19.476351839975827,61.82364816002418,0.884,450557.44889204286
"LogNormal(E≈14.0,σ_ln=0.16)",14.0,2.6266153538168058,0.15774647887323945,13.976257300569012,2.2225252955623476,19.1,19.39662802544996,61.50337197455004,0.884,447320.92472951673
"LogNormal(E≈14.0,σ_ln=0.18)",14.0,2.623435181232001,0.17676056338028168,13.975462112969582,2.478456853686683,19.3,19.356742824760136,61.34325717523987,0.8824000000000001,444807.0320388108
"LogNormal(E≈14.0,σ_ln=0.19)",14.0,2.6211142131701086,0.18943661971830988,14.016176318702186,2.698452912087603,19.2,19.37668737127997,61.423312628720026,0.8704000000000001,438873.7952260597
"LogNormal(E≈14.0,σ_ln=0.20)",14.0,2.6186325627039313,0.20211267605633804,14.02837131855093,2.8750360287727483,19.4,19.33679437979335,61.263205620206655,0.8664000000000001,435043.1443603321
